Wall time,Step,Value
1677516472.476066,2668544,-5.236293315887451
1677516478.1635103,2676736,-5.213908672332764
1677516483.5460753,2684928,-5.166921615600586
1677516490.6269472,2695168,-5.150573253631592
1677516497.5765731,2705408,-5.135889053344727
1677516500.1312387,2709504,-5.127688884735107
1677516504.527787,2715648,-5.112858295440674
1677516505.7930999,2717696,-5.111389636993408
1677516508.6182644,2721792,-5.109897613525391
1677516518.2487872,2736128,-5.249338626861572
1677516530.560969,2754560,-5.159308433532715
1677516532.0937052,2756608,-5.252832412719727
1677516534.8864577,2760704,-5.366483211517334
1677516536.1696982,2762752,-5.423104763031006
1677516540.3292217,2768896,-5.361369609832764
1677516541.9033582,2770944,-5.328235149383545
1677516544.7262785,2775040,-5.253544807434082
1677516550.0762684,2783232,-5.198199272155762
1677516552.8902974,2787328,-5.181297302246094
1677516558.5999515,2795520,-5.1613874435424805
1677516559.928825,2797568,-5.1638007164001465
1677516561.2221107,2799616,-5.162919521331787
1677516562.746781,2801664,-5.159693241119385
1677516564.0010042,2803712,-5.15325927734375
1677516569.775824,2811904,-5.133565425872803
1677516573.9439652,2818048,-5.147861003875732
1677516575.4675887,2820096,-5.144700050354004
1677516580.9158988,2828288,-5.128004550933838
1677516587.8317404,2838528,-5.114051342010498
1677516589.4730086,2840576,-5.116472244262695
1677516595.0502307,2848768,-5.104836463928223
1677516599.2104113,2854912,-5.0972747802734375
1677516604.8178282,2863104,-5.102940082550049
1677516613.1823528,2875392,-5.213647365570068
1677516631.3089354,2902016,-5.138699531555176
1677516632.598547,2904064,-5.126697540283203
1677516638.1794496,2912256,-5.103198051452637
1677516652.0230343,2932736,-5.170006275177002
1677516653.305002,2934784,-5.186193943023682
1677516658.9403036,2942976,-5.223930835723877
1677516661.7748168,2947072,-5.2423272132873535
1677516663.0866458,2949120,-5.236093044281006
1677516664.5982044,2951168,-5.24107551574707
1677516665.844186,2953216,-5.443094253540039
1677516669.9739938,2959360,-6.3719964027404785
1677516674.2921672,2965504,-8.544889450073242
1677516676.8124712,2969600,-9.032196044921875
1677516679.6156232,2973696,-8.219756126403809
1677516681.1361504,2975744,-8.088873863220215
1677516683.6446676,2979840,-7.74038028717041
1677516685.17225,2981888,-7.542369365692139
1677516686.4163566,2983936,-7.337772846221924
1677516687.927307,2985984,-7.096169471740723
1677516689.183681,2988032,-6.930907249450684
1677516690.7474039,2990080,-6.801466464996338
1677516692.0406797,2992128,-6.70601224899292
1677516693.3010905,2994176,-6.585930824279785
1677516696.143444,2998272,-6.338066101074219
1677516705.7503202,3012608,-5.781312465667725
1677516709.8584116,3018752,-5.85276460647583
1677516711.4124656,3020800,-5.904743671417236
1677516713.955147,3024896,-5.903982639312744
1677516723.8164287,3039232,-5.5746588706970215
1677516729.5511534,3047424,-5.404481410980225
1677516732.527485,3051520,-5.3498215675354
1677516733.8654687,3053568,-5.3313164710998535
1677516737.9827216,3059712,-5.273702144622803
1677516739.5681622,3061760,-5.2592339515686035
1677516744.9851375,3069952,-5.284287452697754
1677516746.504437,3072000,-5.298442363739014
1677516747.755456,3074048,-5.3110032081604
1677516750.5269783,3078144,-5.29582405090332
1677516760.1655655,3092480,-5.218185901641846
1677516761.43359,3094528,-5.205325603485107
1677516762.9626117,3096576,-5.193538665771484
1677516765.7993882,3100672,-5.17978048324585
1677516768.3965406,3104768,-5.171595096588135
1677516769.9601896,3106816,-5.17433500289917
1677516779.7067895,3121152,-5.1453704833984375
1677516786.741553,3131392,-5.148113250732422
1677516794.8485327,3143680,-5.144913196563721
1677516799.0405898,3149824,-5.139960289001465
1677516800.5932782,3151872,-5.1349921226501465
1677516804.7504191,3158016,-5.130168914794922
1677516814.5749605,3172352,-5.122454643249512
1677516818.6980247,3178496,-5.120853424072266
1677516820.2416272,3180544,-5.131051063537598
1677516821.5268004,3182592,-5.156185150146484
1677516834.151479,3201024,-5.144542217254639
1677516838.1875029,3207168,-5.143885612487793
1677516839.4506276,3209216,-5.158091068267822
1677516842.2642043,3213312,-5.186983108520508
1677516845.1026027,3217408,-5.201663017272949
1677516846.3833942,3219456,-5.190308570861816
1677516847.9190102,3221504,-5.179287433624268
1677516849.1777375,3223552,-5.168190002441406
1677516853.216351,3229696,-5.134976863861084
1677516856.0613875,3233792,-5.124207973480225
1677516858.8299794,3237888,-5.124809741973877
1677516860.096024,3239936,-5.12297248840332
1677516861.6314416,3241984,-5.12074089050293
1677516865.7291148,3248128,-5.11229944229126
1677516872.58975,3258368,-5.103307723999023
1677516879.502875,3268608,-5.106717586517334
1677516881.0451212,3270656,-5.105072021484375
1677516882.3391595,3272704,-5.106433868408203
1677516887.8793616,3280896,-5.2159295082092285
1677516889.1249762,3282944,-5.241334915161133
1677516890.374757,3284992,-5.2581939697265625
1677516901.7085404,3301376,-5.152459621429443
1677516904.4975178,3305472,-5.144302845001221
1677516905.760842,3307520,-5.145350456237793
1677516908.58348,3311616,-5.143109321594238
1677516916.7487242,3323904,-5.2119059562683105
1677516919.6267083,3328000,-5.166548252105713
1677516922.423427,3332096,-5.148075103759766
1677516923.6884794,3334144,-5.1449055671691895
1677516929.2902606,3342336,-5.1313982009887695
1677516934.8464901,3350528,-5.2935967445373535
1677516937.3648388,3354624,-5.360386848449707
1677516941.7561512,3360768,-5.271548748016357
1677516943.0251591,3362816,-5.248885154724121
1677516950.060631,3373056,-5.176694869995117
1677516951.5764427,3375104,-5.156467437744141
1677516954.1420176,3379200,-5.138909816741943
1677516956.9504714,3383296,-5.129988670349121
1677516958.4653962,3385344,-5.131004810333252
1677516959.7169094,3387392,-5.130630016326904
1677516960.9794385,3389440,-5.129978179931641
1677516963.7713213,3393536,-5.129770755767822
1677516966.5600855,3397632,-5.114445686340332
1677516972.2552989,3405824,-5.100638389587402
1677516974.860915,3409920,-5.096457004547119
1677516977.7410047,3414016,-5.093019485473633
1677516982.216639,3420160,-5.092676162719727
1677516983.531703,3422208,-5.094252586364746
1677516989.2486477,3430400,-5.1107635498046875
1677516993.3106525,3436544,-5.110291481018066
1677516996.1058712,3440640,-5.10898494720459
1677516997.3531568,3442688,-5.1075944900512695
1677517000.1926737,3446784,-5.1041998863220215
1677517004.2023535,3452928,-5.09229850769043
1677517005.4690282,3454976,-5.093780517578125
1677517006.9823573,3457024,-5.098576068878174
1677517008.2336934,3459072,-5.105783462524414
1677517015.1397889,3469312,-5.1057586669921875
1677517016.7325578,3471360,-5.100837230682373
1677517018.061222,3473408,-5.096576690673828
1677517020.8704436,3477504,-5.089656829833984
1677517023.6270401,3481600,-5.085651874542236
1677517024.8769388,3483648,-5.0849432945251465
1677517027.6409106,3487744,-5.0836687088012695
1677517030.459635,3491840,-5.0817742347717285
1677517034.5049398,3497984,-5.082158088684082
1677517037.2752645,3502080,-5.086375713348389
1677517038.569078,3504128,-5.087751865386963
1677517040.1205318,3506176,-5.086933612823486
1677517041.4109497,3508224,-5.082561016082764
1677517049.7531776,3520512,-5.165060520172119
1677517055.1281376,3528704,-5.146515369415283
1677517056.6600082,3530752,-5.135802268981934
1677517057.9332871,3532800,-5.13019323348999
1677517059.2083683,3534848,-5.163937568664551
1677517066.3805835,3545088,-5.323620796203613
1677517077.3415024,3561472,-5.443214416503906
1677517078.6024954,3563520,-5.384235382080078
1677517084.2174394,3571712,-5.264772415161133
1677517086.9833543,3575808,-5.243651390075684
1677517091.0682213,3581952,-5.215504169464111
1677517092.3285217,3584000,-5.20530891418457
1677517093.8443317,3586048,-5.194106578826904
1677517095.1054387,3588096,-5.183714389801025
1677517097.9780102,3592192,-5.165433406829834
1677517099.2536492,3594240,-5.159306049346924
1677517103.5903287,3600384,-5.153675079345703
1677517110.5231218,3610624,-5.1235151290893555
1677517111.8223193,3612672,-5.119594097137451
1677517114.6184897,3616768,-5.116040229797363
1677517118.658162,3622912,-5.117387294769287
1677517128.2663178,3637248,-5.095510959625244
1677517129.522371,3639296,-5.093045234680176
1677517131.0423906,3641344,-5.090909004211426
1677517135.1362567,3647488,-5.091622352600098
1677517140.7396264,3655680,-5.093922138214111
1677517142.0199118,3657728,-5.094698905944824
1677517143.3088548,3659776,-5.1072492599487305
1677517147.6487703,3665920,-5.114408493041992
1677517148.9124532,3667968,-5.1104736328125
1677517151.7204921,3672064,-5.089545726776123
1677517154.5381122,3676160,-5.089236736297607
1677517157.3552058,3680256,-5.089077949523926
1677517162.6776528,3688448,-5.0938334465026855
1677517165.4997785,3692544,-5.09107780456543
1677517173.7134984,3704832,-5.178503513336182
1677517176.6030374,3708928,-5.170706748962402
1677517182.3484454,3717120,-5.117913246154785
1677517189.3834538,3727360,-5.089566707611084
1677517194.9406545,3735552,-5.083377361297607
1677517198.9796462,3741696,-5.083662986755371
1677517200.2327302,3743744,-5.085663318634033
1677517203.0022902,3747840,-5.085885524749756
1677517204.27074,3749888,-5.086467266082764
1677517207.032894,3753984,-5.080922603607178
1677517208.5656414,3756032,-5.083431243896484
1677517209.8186843,3758080,-5.086057186126709
1677517212.5990202,3762176,-5.088792324066162
1677517213.8856893,3764224,-5.087324142456055
1677517215.4468966,3766272,-5.083512306213379
1677517225.4069746,3780608,-5.072512626647949
1677517226.6865618,3782656,-5.073739528656006
1677517227.9865186,3784704,-5.0772929191589355
1677517229.600711,3786752,-5.0825886726379395
1677517233.7538414,3792896,-5.133944034576416
1677517246.3969646,3811328,-5.084322929382324
1677517251.6614625,3819520,-5.095449447631836
1677517253.177623,3821568,-5.095196723937988
1677517254.4297574,3823616,-5.10169792175293
1677517255.9379103,3825664,-5.104067802429199
1677517261.4008012,3833856,-5.1005401611328125
1677517262.9824955,3835904,-5.106637954711914
1677517265.813055,3840000,-5.109154224395752
1677517267.0839598,3842048,-5.108187675476074
1677517269.8883986,3846144,-5.087960243225098
1677517273.9568136,3852288,-5.086578845977783
1677517278.1535993,3858432,-5.082608222961426
1677517279.687459,3860480,-5.080206871032715
1677517282.2773995,3864576,-5.080427169799805
1677517285.0673127,3868672,-5.084043502807617
1677517287.865659,3872768,-5.12121057510376
1677517294.812418,3883008,-5.090291500091553
1677517300.4497578,3891200,-5.0705695152282715
1677517304.5808253,3897344,-5.069581985473633
1677517310.2387397,3905536,-5.072347640991211
1677517312.7593048,3909632,-5.080477237701416
1677517314.309685,3911680,-5.080288410186768
1677517315.566015,3913728,-5.083822727203369
1677517319.5975103,3919872,-5.080203533172607
1677517326.638904,3930112,-5.352875232696533
1677517334.832058,3942400,-5.161336898803711
1677517336.1221216,3944448,-5.152560234069824
1677517337.6671758,3946496,-5.1440043449401855
1677517341.735198,3952640,-5.128873348236084
1677517345.8123333,3958784,-5.109409809112549
1677517349.8522866,3964928,-5.097869396209717
1677517351.4021356,3966976,-5.095530033111572
1677517357.090468,3975168,-5.09509801864624
1677517358.3761559,3977216,-5.107412338256836
1677517359.7248921,3979264,-5.11126184463501
1677517364.1374028,3985408,-5.114130973815918
1677517366.6601183,3989504,-5.098295211791992
1677517371.073047,3995648,-5.098203182220459
1677517372.375228,3997696,-5.09794807434082
1677517375.1446972,4001792,-5.095786094665527
1677517379.2272444,4007936,-5.085396766662598
1677517384.8439689,4016128,-5.1017913818359375
1677517386.1637738,4018176,-5.103662014007568
1677517387.723551,4020224,-5.102652072906494
1677517389.0773082,4022272,-5.092285633087158
1677517390.3549461,4024320,-5.084199905395508
1677517393.1806965,4028416,-5.082120418548584
1677517394.7496195,4030464,-5.0833892822265625
1677517396.0246472,4032512,-5.082766056060791
1677517397.3418934,4034560,-5.083831787109375
1677517405.8514168,4046848,-5.0753583908081055
1677517408.6221826,4050944,-5.072380542755127
1677517411.3831785,4055040,-5.072817802429199
1677517412.6580682,4057088,-5.071858882904053
1677517413.920124,4059136,-5.071417808532715
1677517415.4564047,4061184,-5.0717267990112305
1677517416.732489,4063232,-5.070272922515869
1677517419.5541503,4067328,-5.075037002563477
1677517422.3678718,4071424,-5.0781378746032715
1677517423.6379561,4073472,-5.180438041687012
1677517427.8011773,4079616,-5.253932952880859
1677517429.325791,4081664,-5.260733127593994
1677517433.4820247,4087808,-5.131125450134277
1677517462.9868748,4130816,-5.243800640106201
1677517464.2680886,4132864,-5.222822666168213
1677517469.9102972,4141056,-5.183668613433838
1677517471.1890423,4143104,-5.17623233795166
1677517472.7367506,4145152,-5.168905735015869
1677517475.3097322,4149248,-5.1552205085754395
1677517476.8473675,4151296,-5.146775245666504
1677517479.6612601,4155392,-5.135019302368164
1677517483.7835343,4161536,-5.137640953063965
1677517485.061311,4163584,-5.133157253265381
1677517487.837613,4167680,-5.1270575523376465
1677517489.128947,4169728,-5.1208176612854
1677517490.7168763,4171776,-5.114313125610352
1677517496.1565673,4179968,-5.1214752197265625
1677517497.6602552,4182016,-5.121392250061035
1677517500.4249835,4186112,-5.116620063781738
1677517501.6747904,4188160,-5.106168746948242
1677517505.8028593,4194304,-5.090315818786621
